commodore64,Echelon,NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/58349.jpg
commodore64,"Elektra Glide",NA,NA,Arcade,None,1985,http://vgcollect.com/images/front-box-art/59697.jpg
commodore64,Escape,NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Faery Tale Adventure",MicroIllusions,MicroIllusions,RPG,NA,1987,http://vgcollect.com/images/front-box-art/35378.jpg
commodore64,"Family Feud",NA,"Sharedata Inc.",Other,None,1987,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Fast Break",Accolade,Accolade,Sports,NA,1989,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Fast Load",NA,NA,Other,None,NA,http://vgcollect.com/images/front-box-art/46415.jpg
commodore64,"Fight Night","Sydney Development Corp.","Accolade, Inc.",Sports,None,1986,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Final Assault",NA,NA,Sports,None,1988,http://vgcollect.com/images/front-box-art/53782.jpg
commodore64,FirePower,MicroIllusions,MicroIllusions,Arcade,NA,1989,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Fisher-Price: School Bus Driver",Gametek,Gametek,Edutainment,NA,1988,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Five-a-Side Soccer",NA,NA,Sports,None,1985,http://vgcollect.com/images/front-box-art/59698.jpg
commodore64,"Flight Simulator II",Sublogic,Sublogic,"Flight Simulator",NA,1984,http://vgcollect.com/images/front-box-art/33793.jpg
commodore64,"Frankie Goes to Hollywood","Denton Designs","Ocean Software",Action,NA,1985,http://vgcollect.com/images/front-box-art/21815.jpg
commodore64,Frogger,NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/22256.jpg
commodore64,"G.I. Joe: A Real American Hero",NA,NA,Action,NA,NA,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,galaxian,NA,NA,"Shoot 'Em Up",NA,NA,http://vgcollect.com/images/front-box-art/47610.jpg
commodore64,"Games, The: Summer Edition","The Code Monkeys","Epyx, Inc.",Sports,None,1988,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Games, The: Winter Edition","The Code Monkeys","Epyx, Inc.",Sports,None,1988,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Gameware 2 on One - BMX Trials & 1985",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Gameware 2 on One - Hunter Patrol & AD Infinitum",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Gameware 2 on One - Kane & Human Race",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Gateway To Apshai","Epyx, Inc.",Epyx,Adventure,None,1983,http://vgcollect.com/images/front-box-art/31011.jpg
commodore64,Gato,"Spectrum Holobyte","Spectrum Holobyte",Simulation,NA,1985,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,Gauntlet,"Gremlin Graphics Software Ltd","Mindscape, Inc.",Action,None,1986,http://vgcollect.com/images/front-box-art/38246.jpg
commodore64,Godzilla,"The Code Works","The Code Works",Strategy,NA,1983,http://vgcollect.com/images/front-box-art/22743.jpg
commodore64,"Gogo The Ghost/Collapse",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,"Gold Medal Games","Celery Software",NA,NA,NA,1986,http://vgcollect.com/images/front-box-art/no_art.jpg
commodore64,GORF,NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/17176.jpg
commodore64,"Grammy Hotfoot",NA,NA,NA,NA,NA,http://vgcollect.com/images/front-box-art/no_art.jpg
